id,revenue
3001,6691779.032931983
3002,9266755.508541035
3003,20051187.02681582
3004,46486240.749567114
3005,6371360.35377685
3006,29722687.010077674
3007,16689848.252612893
3008,69883357.54893677
3009,54543809.09759976
3010,368977753.5848888
3011,1707880.8685910278
3012,16961057.670859016
3013,55465723.218047544
3014,2786507.1939461147
3015,57033948.36476169
3016,5364027.929781129
3017,80670493.24084993
3018,163448711.20920786
3019,17843507.361722514
3020,955427267.3772589
3021,80051520.2013405
3022,64929645.231555745
3023,4666654.896571488
3024,57896880.73032443
3025,12675680.522212736
3026,131095704.09741943
3027,7201641.993972875
3028,162165873.84837216
3029,2772339.1527696443
3030,75292434.64185373
3031,28762733.779669147
3032,16956787.949589517
3033,3231729.6397300093
3034,1914654.2262593503
3035,21253997.268174488
3036,53378415.23503523
3037,78804422.34868124
3038,48079508.26634685
3039,45967251.96188122
3040,6374845.933355266
3041,43954725.97086744
3042,4910109.803032132
3043,19450395.00165375
3044,17171739.92896793
3045,428590477.00377285
3046,11033006.986472297
3047,20381501.937230017
3048,49970979.71750512
3049,36394848.17871855
3050,29870217.37050081
3051,2808344.9920109645
3052,42621735.54312911
3053,2279364.96581908
3054,12328087.811100896
3055,73585800.68115856
3056,3337436.3400472933
3057,82690501.07409084
3058,573598586.5456078
3059,7501894.970655503
3060,76632225.65134603
3061,77106590.06941165
3062,36235064.33456763
3063,76073306.50845826
3064,100331547.4242654
3065,43434342.47407334
3066,76679828.72275902
3067,19737147.55726015
3068,80400895.22384374
3069,257535866.04802266
3070,5247841.45805139
3071,24482177.52197123
3072,766911205.6159418
3073,6338620.937253368
3074,1583583.5138502463
3075,80750860.65252705
3076,248641970.9102115
3077,54790589.58008222
3078,76003140.95833404
3079,80121662.7694901
3080,87335772.724707
3081,20476122.902170327
3082,20372337.07840492
3083,32271855.31886523
3084,2202042.3299933365
3085,35040066.733697094
3086,87167857.6309491
3087,5404405.479695172
3088,6710887.278316666
3089,7075481.988572833
3090,62713255.50501164
3091,42179153.10447119
3092,20321550.636317886
3093,309724212.2829931
3094,95131802.37363745
3095,55170301.32858455
3096,3433506.6932945615
3097,1047495929.4690332
3098,35267691.62193135
3099,71229164.34455183
3100,20203955.044153366
3101,20410874.212165616
3102,21931117.237145174
3103,8203539.426489067
3104,1881079.2390088544
3105,112999591.55215545
3106,108894967.99382488
3107,57146289.55922757
3108,44327349.133056395
3109,20388708.03413096
3110,449794486.79607
3111,16068674.80121718
3112,8630665.033974152
3113,38201419.83272474
3114,58781103.80297754
3115,64060730.51921461
3116,20198206.068769507
3117,11292748.490174439
3118,20891726.02254758
3119,352708602.6438159
3120,235644757.8533774
3121,15049748.619324539
3122,32579219.778474204
3123,23831108.02928094
3124,26653259.222739913
3125,2700090.437064764
3126,61279917.17434089
3127,20231085.747509718
3128,66258800.577278316
3129,244947279.3526403
3130,20824427.4238434
3131,20245316.28436382
3132,23448537.75819401
3133,9167994.976251455
3134,20335232.28728496
3135,4984989.714773202
3136,12789565.996336017
3137,197890609.02854195
3138,2232407.3281447752
3139,81125376.24862161
3140,63795441.858016826
3141,21849222.80968085
3142,3353391.6761879814
3143,141453040.12952957
3144,38429370.29065934
3145,28834198.448426217
3146,8563704.592748554
3147,47914737.231016144
3148,19241598.550406754
3149,74710684.58542155
3150,70142604.25977953
3151,29976987.252086885
3152,45409258.12799351
3153,19632969.761733312
3154,39568358.44066714
3155,76708951.36379626
3156,31311819.488920648
3157,28777358.191748608
3158,141112247.65320617
3159,20217528.83714161
3160,16440189.958322668
3161,14011266.253139779
3162,37836383.67646537
3163,81313966.37953037
3164,8092297.470090439
3165,6373497.756403877
3166,4762220.0916838115
3167,87718294.783465
3168,6519530.730777644
3169,38602190.05357437
3170,22333069.601320513
3171,25742911.833543286
3172,60469781.04005672
3173,2302932.7804265926
3174,11234003.003701612
3175,21768049.182442877
3176,62271042.20492663
3177,83988315.40977383
3178,17105218.746285968
3179,19808803.099818982
3180,21969457.61219942
3181,4792593.997682062
3182,379299117.7364799
3183,36729281.37080645
3184,36747353.733193845
3185,66668227.67352511
3186,55284759.938926995
3187,28001859.46678994
3188,44530365.71125527
